id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,call_length,investment,period
1,49,self-employed,married,tertiary,telephone,8142,no,no,0,NA,500,0,0
2,35,blue-collar,married,NA,cellular,245,yes,no,1,low,134,0,0
3,38,services,married,secondary,NA,304,no,yes,0,NA,131,0,0
4,38,admin.,divorced,secondary,NA,156,yes,no,0,NA,544,0,0
5,54,technician,married,secondary,NA,1378,yes,no,0,NA,240,0,0
6,59,retired,married,secondary,NA,-313,yes,no,0,NA,407,0,0
7,53,services,married,secondary,cellular,24,yes,no,0,NA,209,0,0
8,35,blue-collar,married,secondary,telephone,612,yes,no,0,NA,47,0,0
9,46,blue-collar,married,primary,NA,296,yes,no,0,NA,92,0,0
10,36,technician,single,secondary,NA,7503,yes,no,0,NA,25,0,0
11,40,technician,married,secondary,NA,2715,yes,no,0,NA,125,0,0
12,32,technician,married,secondary,cellular,1539,yes,no,0,NA,160,0,0
13,48,management,divorced,tertiary,cellular,757,yes,no,0,NA,90,0,0
14,47,management,single,tertiary,cellular,714,yes,no,0,NA,609,0,0
15,37,technician,single,tertiary,cellular,197,no,no,1,high,175,264.13,0
16,34,admin.,single,secondary,cellular,528,no,no,1,NA,165,0,0
17,47,management,married,NA,cellular,555,yes,no,0,NA,179,0,0
18,42,housemaid,divorced,primary,cellular,273,no,no,0,NA,354,0,0
19,42,technician,divorced,tertiary,NA,147,yes,no,0,NA,254,0,0
20,46,admin.,married,secondary,cellular,466,yes,no,0,NA,169,0,0
21,34,management,single,tertiary,cellular,90,yes,no,0,NA,67,0,0
22,34,technician,married,secondary,cellular,0,yes,no,0,NA,144,0,0
23,32,blue-collar,married,secondary,cellular,3228,yes,no,0,NA,198,0,0
24,29,technician,single,secondary,cellular,-247,no,yes,0,NA,211,0,0
25,28,management,single,tertiary,cellular,223,yes,no,3,high,303,266.26,0
26,50,blue-collar,married,secondary,cellular,0,yes,no,0,NA,240,0,0
27,60,retired,married,secondary,cellular,975,no,no,1,low,303,457.58,0
28,36,management,single,tertiary,cellular,538,no,no,5,high,339,282.51,0
29,53,admin.,married,secondary,NA,-197,yes,yes,0,NA,178,0,0
30,33,unemployed,single,secondary,cellular,682,no,no,0,NA,251,0,0
31,43,management,married,tertiary,cellular,78,yes,no,1,NA,36,0,0
32,48,blue-collar,married,primary,cellular,750,yes,no,0,NA,90,0,0
33,51,retired,married,secondary,cellular,965,yes,no,0,NA,67,0,0
34,40,management,married,tertiary,cellular,-17,yes,yes,1,high,474,0,0
35,41,admin.,single,secondary,NA,2790,yes,no,0,NA,190,0,0
36,39,admin.,divorced,secondary,cellular,284,yes,yes,0,NA,772,0,0
37,27,unemployed,single,tertiary,cellular,127,no,no,0,NA,449,0,0
38,39,management,divorced,tertiary,cellular,30,no,yes,0,NA,265,0,0
39,48,housemaid,married,secondary,cellular,4,no,no,0,NA,68,0,0
40,47,technician,divorced,secondary,telephone,-105,no,no,0,NA,192,0,0
41,36,admin.,single,secondary,cellular,9002,yes,yes,0,NA,793,0,0
42,32,blue-collar,married,secondary,cellular,136,no,no,3,high,206,268.27,0
43,33,management,married,tertiary,cellular,55,no,no,3,low,526,236.78,0
44,37,technician,married,tertiary,cellular,-86,yes,no,0,NA,91,0,0
45,55,blue-collar,married,secondary,cellular,1901,no,no,0,NA,143,0,0
46,19,student,single,primary,cellular,1247,no,no,0,NA,94,0,0
47,52,management,single,tertiary,cellular,824,no,no,2,low,466,0,0
48,41,technician,married,secondary,cellular,0,no,no,0,NA,113,0,0
49,34,admin.,married,tertiary,NA,221,yes,no,0,NA,185,0,0
50,70,retired,married,secondary,cellular,2626,no,no,0,NA,140,773.35,0
51,57,management,single,tertiary,NA,73,no,no,0,NA,41,0,0
52,45,blue-collar,single,secondary,cellular,-100,yes,no,0,NA,93,0,0
53,30,management,single,tertiary,cellular,8535,no,no,0,NA,393,1094.42,0
54,32,admin.,single,secondary,cellular,396,yes,no,1,low,88,0,0
55,34,admin.,married,secondary,cellular,353,no,yes,0,NA,126,0,0
56,54,technician,married,secondary,cellular,-258,yes,no,1,NA,65,0,0
57,35,blue-collar,single,NA,NA,871,yes,no,0,NA,216,0,0
58,34,services,married,secondary,NA,286,yes,no,0,NA,703,0,0
59,34,entrepreneur,married,NA,cellular,-506,no,no,0,NA,19,0,0
60,40,management,single,tertiary,cellular,0,yes,no,4,high,79,0,0
61,37,blue-collar,divorced,secondary,cellular,-59,yes,no,1,low,169,0,0
62,50,self-employed,married,secondary,telephone,0,yes,no,11,NA,352,0,0
63,52,technician,married,secondary,cellular,1064,no,no,0,NA,106,0,0
64,26,student,single,secondary,cellular,480,no,no,0,NA,104,0,0
65,57,management,married,tertiary,cellular,29,no,yes,0,NA,294,0,0
66,61,technician,married,secondary,cellular,50,yes,no,0,NA,213,0,0
67,41,blue-collar,married,secondary,cellular,2913,no,no,0,NA,1058,0,0
68,39,unemployed,married,primary,NA,408,yes,no,0,NA,53,0,0
69,47,blue-collar,married,secondary,cellular,310,yes,no,0,NA,145,0,0
70,32,self-employed,married,tertiary,telephone,1464,no,no,0,NA,133,0,0
71,52,retired,married,primary,cellular,383,yes,yes,0,NA,299,0,0
72,33,management,married,tertiary,cellular,1,yes,yes,0,NA,551,0,0
73,41,management,married,tertiary,NA,6060,yes,no,0,NA,71,0,0
74,40,blue-collar,divorced,secondary,cellular,-349,no,yes,0,NA,31,0,0
75,49,housemaid,married,secondary,cellular,500,no,yes,0,NA,105,0,0
76,40,technician,married,secondary,cellular,4441,yes,no,2,low,153,0,0
77,45,services,married,primary,NA,60,no,no,0,NA,349,0,0
78,57,management,married,tertiary,cellular,256,no,no,0,NA,227,328.42,0
79,38,blue-collar,divorced,primary,cellular,0,yes,no,0,NA,531,245.83,0
80,33,technician,single,secondary,cellular,641,yes,yes,0,NA,242,0,0
81,28,services,married,secondary,NA,4,yes,no,0,NA,10,0,0
82,48,management,married,tertiary,cellular,732,no,no,0,NA,255,0,0
83,40,self-employed,married,secondary,cellular,1893,no,no,0,NA,78,0,0
84,46,management,married,secondary,cellular,1114,no,no,0,NA,87,0,0
85,30,blue-collar,single,tertiary,telephone,4127,yes,no,0,NA,47,0,0
86,38,technician,single,secondary,cellular,553,yes,no,8,NA,178,0,0
87,44,entrepreneur,married,primary,cellular,650,yes,no,0,NA,142,0,0
88,55,services,married,secondary,cellular,642,yes,no,0,NA,232,0,0
89,40,blue-collar,married,secondary,NA,3311,yes,yes,0,NA,243,0,0
90,60,management,married,tertiary,cellular,-108,no,yes,0,NA,79,0,0
91,51,blue-collar,married,primary,NA,-1,no,no,0,NA,110,0,0
92,35,unemployed,single,primary,cellular,-17,no,no,0,NA,100,0,0
93,35,management,single,tertiary,NA,1374,no,no,0,NA,45,0,0
94,30,blue-collar,single,secondary,cellular,144,yes,no,3,low,259,0,0
95,45,technician,married,secondary,cellular,2776,yes,no,1,high,287,823.3,0
96,32,management,married,tertiary,cellular,905,no,no,0,NA,666,439.31,0
97,60,retired,divorced,secondary,cellular,306,yes,no,0,NA,76,0,0
98,28,blue-collar,married,primary,cellular,519,yes,no,0,NA,82,0,0
99,33,management,divorced,tertiary,cellular,280,no,yes,0,NA,155,0,0
100,37,services,single,tertiary,NA,223,yes,no,0,NA,25,0,0
101,35,admin.,married,primary,cellular,1994,no,no,0,NA,64,0,0
102,53,self-employed,married,secondary,cellular,534,yes,no,0,NA,115,0,0
103,52,technician,divorced,secondary,cellular,225,no,no,0,NA,58,0,0
104,52,management,married,tertiary,NA,1177,yes,no,0,NA,473,0,0
105,23,technician,single,secondary,cellular,4,yes,no,0,NA,763,270.63,0
106,31,management,single,tertiary,cellular,775,yes,no,3,low,99,0,0
107,28,blue-collar,single,secondary,NA,1112,yes,no,0,NA,827,0,0
108,37,management,married,secondary,cellular,5447,yes,yes,0,NA,1789,607.2,0
109,32,blue-collar,single,primary,cellular,180,yes,no,0,NA,804,0,0
110,58,retired,married,NA,cellular,937,no,no,0,NA,155,0,0
111,25,management,single,tertiary,cellular,362,no,no,0,NA,617,269.54,0
112,44,admin.,divorced,secondary,cellular,432,no,no,0,NA,132,0,0
113,38,services,married,secondary,cellular,2669,yes,no,0,NA,208,0,0
114,28,admin.,single,secondary,cellular,-281,yes,no,4,NA,144,0,0
115,38,management,married,tertiary,telephone,0,yes,no,0,NA,136,0,0
116,28,blue-collar,married,secondary,NA,708,yes,no,0,NA,339,0,0
117,37,technician,married,secondary,cellular,0,no,no,0,NA,409,0,0
118,31,technician,married,tertiary,NA,-502,yes,yes,0,NA,523,0,0
119,56,management,married,tertiary,cellular,0,no,no,0,NA,486,0,0
120,33,technician,married,secondary,NA,168,yes,no,0,NA,238,0,0
121,38,services,married,secondary,cellular,2678,no,no,1,high,282,768.59,0
122,51,entrepreneur,married,tertiary,cellular,-267,yes,no,0,NA,42,0,0
123,35,housemaid,married,tertiary,cellular,3831,no,no,0,NA,59,0,0
124,43,self-employed,single,tertiary,NA,0,no,no,0,NA,147,0,0
125,49,entrepreneur,married,primary,cellular,282,yes,yes,0,NA,99,0,0
126,34,management,married,tertiary,NA,2287,yes,no,0,NA,895,709.88,0
127,34,admin.,married,secondary,cellular,920,no,no,3,high,526,443.48,0
128,32,management,single,tertiary,cellular,574,yes,no,3,low,259,0,0
129,44,technician,married,secondary,cellular,-393,no,no,0,NA,45,0,0
130,52,blue-collar,divorced,primary,NA,1758,yes,no,0,NA,41,0,0
131,29,management,single,tertiary,cellular,0,yes,no,0,NA,150,0,0
132,46,blue-collar,married,secondary,cellular,51,yes,no,0,NA,333,0,0
133,34,services,single,secondary,cellular,49,no,yes,0,NA,181,0,0
134,37,blue-collar,married,primary,NA,660,yes,yes,0,NA,170,0,0
135,41,housemaid,married,tertiary,NA,783,yes,no,0,NA,130,0,0
136,54,admin.,single,secondary,telephone,1958,no,no,6,low,179,0,0
137,40,blue-collar,married,primary,cellular,2129,yes,no,0,NA,1156,0,0
138,47,blue-collar,married,secondary,NA,762,yes,no,0,NA,56,0,0
139,36,management,single,tertiary,cellular,0,no,no,0,NA,134,0,0
140,34,technician,single,tertiary,cellular,-552,yes,no,0,NA,312,0,0
141,43,blue-collar,married,primary,cellular,190,yes,no,0,NA,168,0,0
142,30,management,single,tertiary,cellular,938,no,no,1,NA,172,0,0
143,30,technician,single,secondary,NA,86,no,no,0,NA,45,0,0
144,24,blue-collar,married,secondary,cellular,-220,yes,no,0,NA,90,0,0
145,37,housemaid,married,NA,telephone,0,no,no,0,NA,195,0,0
146,34,services,divorced,secondary,NA,0,yes,yes,0,NA,203,0,0
147,39,blue-collar,married,primary,cellular,4,yes,no,0,NA,206,0,0
148,40,technician,married,secondary,NA,109,yes,no,0,NA,147,0,0
149,35,technician,married,secondary,cellular,15474,no,no,2,NA,89,0,0
150,58,retired,married,secondary,cellular,195,no,no,0,NA,41,0,0
151,38,technician,single,tertiary,NA,1619,no,no,0,NA,324,0,0
152,56,management,divorced,tertiary,NA,442,no,no,0,NA,77,0,0
153,34,admin.,single,secondary,cellular,-32,no,yes,2,high,89,0,0
154,53,admin.,married,secondary,telephone,1796,no,no,0,NA,145,0,0
155,46,blue-collar,married,secondary,NA,0,yes,no,0,NA,328,0,0
156,39,services,married,secondary,cellular,1068,yes,no,0,NA,214,0,0
157,33,management,single,tertiary,NA,168,yes,no,0,NA,155,0,0
158,38,self-employed,married,secondary,cellular,173,no,no,0,NA,205,0,0
159,26,self-employed,single,secondary,cellular,1242,yes,no,2,high,205,0,0
160,27,entrepreneur,married,secondary,cellular,-36,no,yes,0,NA,120,0,0
161,37,management,divorced,tertiary,cellular,-42,yes,no,0,NA,668,236.1,0
162,34,technician,married,secondary,NA,5553,yes,no,0,NA,258,0,0
163,27,technician,single,secondary,telephone,2731,no,no,0,NA,30,0,0
164,57,blue-collar,married,primary,NA,179,no,no,0,NA,230,0,0
165,43,admin.,married,tertiary,cellular,279,yes,no,0,NA,111,0,0
166,69,admin.,married,secondary,telephone,813,no,no,0,NA,237,0,0
167,38,technician,married,NA,NA,499,no,no,0,NA,240,0,0
168,40,admin.,married,secondary,cellular,0,no,no,2,low,87,0,0
169,42,admin.,married,secondary,NA,445,yes,no,0,NA,67,0,0
170,50,technician,married,secondary,NA,7098,yes,no,0,NA,92,0,0
