"id","investment"
30201,1
30202,0
30203,24
30204,0
30205,0
30206,0
30207,39
30208,0
30209,53
30210,47
30211,0
30212,40
30213,112
30214,334
30215,135
30216,31
30217,313
30218,68
30219,0
30220,4
30221,0
30222,23
30223,0
30224,0
30225,0
30226,85
30227,0
30228,121
30229,0
30230,106
30231,0
30232,12
30233,10
30234,0
30235,0
30236,11
30237,67
30238,0
30239,264
30240,0
30241,0
30242,0
30243,277
30244,34
30245,0
30246,0
30247,200
30248,0
30249,0
30250,133
30251,0
30252,69
30253,365
30254,0
30255,265
30256,81
30257,55
30258,0
30259,0
30260,31
30261,165
30262,0
30263,0
30264,323
30265,0
30266,0
30267,0
30268,0
30269,0
30270,0
30271,44
30272,10
30273,2
30274,0
30275,0
30276,0
30277,221
30278,0
30279,0
30280,0
30281,0
30282,57
30283,0
30284,0
30285,0
30286,0
30287,0
30288,0
30289,0
30290,0
30291,0
30292,248
30293,0
30294,49
30295,50
30296,0
30297,0
30298,78
30299,0
30300,0
30301,0
30302,0
30303,0
30304,90
30305,0
30306,353
30307,0
30308,252
30309,0
30310,459
30311,24
30312,0
30313,0
30314,62
30315,0
30316,0
30317,36
30318,0
30319,0
30320,0
30321,3
30322,0
30323,0
30324,15
30325,673
30326,81
30327,34
30328,0
30329,44
30330,0
30331,0
30332,28
30333,45
30334,0
30335,327
30336,58
30337,55
30338,6
30339,0
30340,167
30341,7
30342,23
30343,54
30344,35
30345,212
30346,0
30347,9
30348,0
30349,9
30350,0
30351,0
30352,0
30353,0
30354,10
30355,0
30356,0
30357,9
30358,16
30359,0
30360,0
30361,237
30362,46
30363,0
30364,0
30365,0
30366,0
30367,0
30368,0
30369,0
30370,0
30371,37
30372,0
30373,32
30374,0
30375,237
30376,0
30377,24
30378,4
30379,0
30380,75
30381,0
30382,5
30383,8
30384,5
30385,0
30386,0
30387,40
30388,6
30389,0
30390,0
30391,46
30392,0
30393,0
30394,0
30395,0
30396,0
30397,76
30398,6
30399,0
30400,231
30401,39
30402,0
30403,0
30404,0
30405,0
30406,0
30407,0
30408,0
30409,0
30410,19
30411,0
30412,0
30413,0
30414,0
30415,95
30416,0
30417,4
30418,0
30419,0
